1,"Education"
2,"Visual and performing arts, and communications technologies"
3,"Humanities"
4,"Social and behavioural sciences and law"
5,"Business, management and public administration"
6,"Physical and life sciences and technologies"
7,"Mathematics, computer and information sciences"
8,"Architecture, engineering, and related trades"
9,"Agriculture, natural resources and conservation"
10,"Health and related fields"
11,"Personal, protective and transportation services"
12,"Other"
13,"No postsecondary certificate, diploma or degree"
88,"Not available"
99,"Not applicable"
