1,"One-census-family household without additional persons: Couple without children"
2,"One-census-family household without additional persons: Couple with children"
3,"One-census-family household with additional persons: Couple without children"
4,"One-census-family household with additional persons: Couple with children"
5,"One-census-family household without additional persons: one-parent family"
6,"One-census-family household with additional persons: one-parent family"
7,"Multiple-census-family household"
8,"On-census-family household: one-person household"
9,"Non-census-family household: two-or-more-person non-census-family household"
88,"Not available"
